Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.076800,"590,395,118",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"8,558,020"
SPRC,4.275,"77,100",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"20,325"
REPL,8.445,"7,147,786",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"297,645"
DVLT,2.365600,"58,064,889",-100.0,-12.58,-1.3,0.09,"2,950,465"
ABAT,6.065,"18,168,553",-100.0,-13.85,0.0,-0.06,"577,451"
GSIT,12.015,"56,595,090",-100.0,-37.32,-3.45,-0.12,"10,385"
AZTR,.585000,"2,278,544",-100.0,-10.7538,-28.1562,-0.26,"37,428"
LAES,5.8401,"37,364,546",-100.0,-11.91,-34.0,-0.26,"201,237"
IOBT,.929100,"7,013,625",-100.0,-4.2165,-45.7043,-0.82,"1,388,997"
CTOR,1.7511,"173,445",377.83,-8.32,8.92,-1.07,"841,127"
