Watchlist Scanner

Results
Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Approx Borrow Size,Low,EPS,Market Cap,Vol Index
ABAT,AMERICAN BATTERY TEC,6.30,+1.45,+29.90%,"9,420,495",6.27,6.31,6.38,"2,459,107",5.93,-.58,744 M,195.49%
CELC,CELCUITY INC,78.01,+26.05,+50.13%,"2,351,934",77.55,77.97,83.00,"164,785",76.54,-3.47,"3,310 M",86.37%
DHAI,DIH HLDG US INC A,3.42,+3.2953,+2642.58%,"16,473",3.42,3.57,3.458,"148,453",3.20,-8,179 M,<empty>
DVLT,DATAVAULT AI INC,2.202900,+.4129,+23.07%,"16,900,998",2.200000,2.210000,2.220000,"3,426,828",2.040000,5.04,412 M,<empty>
ETHZ,ETHZILLA CORP,17.16,+15.48,+921.43%,"106,176",17.19,17.40,18.3128,"1,694,168",17.11,-149.5,"2,749 M",113.98%
FGI,FGI INDS LTD,5.87,+1.11,+23.32%,"7,885,543",5.87,5.92,6.25,0,5.84,-1.49,11 M,<empty>
GRAL,GRAIL INC EQUITY Equity,100.51,+22.51,+28.86%,"689,473",100.02,101.00,101.331,"218,868",89.01,-11.71,"3,623 M",99.07%
GSIT,GSI TECHNOLOGY INC,8.88,+3.80,+74.80%,"12,701,633",8.88,8.89,8.90,"397,570",7.34,-.54,258 M,160.83%
NUAI,New Era Energy & Dig,5.50,+.95,+20.88%,"11,819,474",5.48,5.50,5.90,"764,813",5.1801,-.7362,269 M,<empty>
RANI,RANI THERAPEUTICS HL A,2.210000,+.57,+34.76%,"50,288,951",2.210000,2.220000,2.280000,0,2.070000,-.9,106 M,277.94%
REPL,REPLIMUNE GROUP INC,9.005,+4.505,+100.11%,"62,961,030",8.99,9.01,9.91,"466,460",8.71,-3.24,703 M,172.42%
SENS,SENSEONICS HLDGS INC,7.71,-.45,-5.51%,"159,294",7.67,7.73,7.97,"16,037,414",7.50,-2,315 M,<empty>
