Watchlist Scanner

Results
Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Approx Borrow Size,Low,EPS,Market Cap,Vol Index
ABVEW,Above Food Ingredien Warrant Equity 02/12/2031,1.22,0,0.00%,<empty>,1.45,1.50,0,"12,831",0,<empty>,0,<empty>
ACHV,ACHIEVE LIFE SCIENCE,4.20,0,0.00%,"113,019",4.24,4.25,0,"975,924",0,-1.48,215 M,320.26%
ARTV,ARTIVA BIOTHERAPEUTI,6.01,0,0.00%,"411,761",5.49,5.50,0,"110,717",0,-6.154,147 M,<empty>
ELBM,ELECTRA BATTERY MATL,2.2200,0,0.00%,"1,008,346",2.2000,2.2300,0,0,0,-1.191,40 M,<empty>
ELDN,ELEDON PHARMACEUTICA,3.44,0,0.00%,"35,875",3.48,3.53,0,"435,929",0,.65,206 M,364.66%
KZR,KEZAR LIFE SCIENCES,6.36,0,0.00%,"35,524",6.37,6.38,0,"35,190",0,-9.7,47 M,109.79%
LBRT,LIBERTY ENERGY INC A A,15.32,0,0.00%,"179,543",15.86,15.91,0,"1,018,046",0,1.3,"2,481 M",91.79%
NUAI,New Era Energy & Dig,4.55,0,0.00%,"5,570,314",5.31,5.32,0,"733,261",0,-.7362,222 M,<empty>
RANI,RANI THERAPEUTICS HL A,1.640,0,0.00%,"35,886,723",2.020,2.030,0,0,0,-.9,79 M,271.85%
REKR,REKOR SYS INC,3.20,0,0.00%,"1,264,759",3.50,3.51,0,"1,355,263",0,-.53,404 M,158.60%
