Watchlist Scanner

Results
Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Approx Borrow Size,Low,EPS,Market Cap,Vol Index
ABVEW,Above Food Ingredien Warrant Equity 02/12/2031,1.2500,+.2017,+21.73%,"224,356",1.0900,1.1300,1.2200,0,.9600,<empty>,0,<empty>
ACHV,ACHIEVE LIFE SCIENCE,4.9698,+1.1098,+36.03%,"15,366,995",4.18,4.19,4.4399,"129,529",3.71,-1.48,214 M,242.55%
ARTV,ARTIVA BIOTHERAPEUTI,5.7510,+3.381,+122.06%,"97,855,441",6.1500,6.1600,7.3600,0,5.1401,-6.154,150 M,<empty>
CREV,CARBON REVOLUTION LT,5.45,+1.525,+40.94%,"25,636,843",5.20,5.28,5.36,0,4.37,-78.61,9.9 M,<empty>
ELBM,ELECTRA BATTERY MATL,2.195000,+.555,+33.84%,"59,528,156",2.190000,2.200000,2.650000,0,1.850000,-1.191,39 M,<empty>
ELDN,ELEDON PHARMACEUTICA,3.265,+.615,+21.58%,"5,001,965",3.46,3.47,3.70,"304,463",2.87,.65,207 M,372.06%
EQ,EQUILLIUM INC,1.255000,+.275,+22.36%,"2,560,019",1.500000,1.510000,1.55,"788,768",1.19,-.57,90 M,463.44%
IRON,DISC MEDICINE INC,87.90,+14.74,+19.82%,"2,008,757",89.11,89.62,95.95,"254,156",83.88,-4.461,"3,098 M",62.70%
KZR,KEZAR LIFE SCIENCES,5.84,+2.07,+49.64%,"5,596,144",6.21,6.24,6.35,0,5.63,-9.7,46 M,90.56%
LBRT,LIBERTY ENERGY INC A A,15.045,+3.405,+28.52%,"23,765,553",15.34,15.35,15.65,"1,308,733",11.5201,1.3,"2,485 M",80.94%
NUAI,New Era Energy & Dig,3.760000,+.81,+25.71%,"24,011,859",3.950000,3.960000,4.000000,"205,182",3.200000,-.7362,194 M,<empty>
RANI,RANI THERAPEUTICS HL A,1.598000,+1.3271,+281.82%,"467,490,636",1.790000,1.800000,2.390000,0,1.130000,-.9,86 M,276.73%
REKR,REKOR SYS INC,3.490000,+.61,+23.46%,"23,290,368",3.200000,3.210000,3.246000,"633,616",2.530000,-.53,406 M,143.89%
SGHT,SIGHT SCIENCES INC,4.38,+1.26,+36.52%,"1,540,649",4.65,4.71,4.80,"595,398",3.89,-.96,247 M,269.72%
STI,SOLIDION TECHNOLOGY,23.8282,+5.1482,+28.57%,"2,253,229",23.10,23.50,24.34,"10,505",15.58,-4.12,168 M,<empty>
TXMD,THERAPEUTICSMD INC,1.370000,+.205,+19.62%,"8,172,872",1.250000,1.260000,1.700000,"99,401",1.048000,-.04,14 M,409.67%
VHC,VIRNETX HOLDING CORP,25.45,+8.15,+47.94%,"2,175,467",25.05,25.25,29.00,0,21.6301,-4.78,107 M,<empty>
XRTX,XORTX THERAPEUTICS I,1.210000,+.36,+42.35%,"107,566,196",1.200000,1.210000,1.41,0,1.01,-.46,6.3 M,<empty>
